"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
8909,42,"2018-05-10 16:58:53",118345403,"2018-05-03 14:39:30",1,"2018-05-11 10:11:26",341,238,147,"Деньги от Google Play",fb,LeftMenu,TR,topfacemobappandroid
,,,118421732,"2018-05-06 05:05:59",6,"2018-05-06 07:06:46",94,65,77,"Деньги от Google Play",fb,BadaboomFilterScreen,RU,topfacemobappandroid
,,,118555689,"2018-05-09 13:25:58",1,"2018-05-11 19:42:22",392,274,147,"Деньги от Google Play",fb,PopularUserBlockDialog,UA,topfacemobappandroid
,,,118056837,"2018-04-21 11:57:58",1,"2018-04-21 12:01:50",510,173,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid
9365,63,"2018-04-13 11:04:37",117856567,"2018-04-13 11:04:35",11,"2018-04-21 10:41:58",615,430,147,"Деньги от Google Play",fb,LeftMenu,AR,topfacemobappandroid
9366,63,"2018-04-06 13:05:39",117708757,"2018-04-06 13:05:38",3,"2018-05-08 00:48:10",339,237,147,"Деньги от Google Play",fb,LeftMenu,TR,topfacemobappandroid
,,,118476269,"2018-05-07 14:22:55",1,"2018-05-07 14:23:46",799,559,147,"Деньги от Google Play",fb,LeftMenu,UA,topfacemobappandroid
,,,117779630,"2018-04-09 05:07:01",4,"2018-05-12 07:07:20",1266,886,147,"Деньги от Google Play",fb,TrialVipPopup,BR,topfacemobappandroid
,,,118668023,"2018-05-12 17:59:52",3,"2018-05-15 20:11:12",1370,958,147,"Деньги от Google Play",fb,Dating,IN,topfacemobappandroid
,,,117611557,"2018-04-02 07:28:30",2,"2018-05-08 12:39:05",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,CO,topfacemobappandroid
,,,118666667,"2018-05-12 17:08:28",1,"2018-05-12 17:24:53",526,368,147,"Деньги от Google Play",fb,LeftMenu,TR,topfacemobappandroid
,,,118694844,"2018-05-13 12:17:20",4,"2018-05-14 15:27:43",96,67,19,"Деньги от Google Play",fb,Menu,AE,topfacemobappandroid
,,,117968139,"2018-04-17 18:01:32",5,"2018-04-20 22:15:24",2080,1456,147,"Деньги от Google Play",fb,Visitors,CZ,topfacemobappandroid
,,,117818417,"2018-04-11 13:41:13",4,"2018-04-13 17:53:03",43,30,146,"Деньги от Google Play",fb,EmptyLikes,US,topfacemobappandroid
,,,118535765,"2018-05-08 21:23:34",5,"2018-05-09 15:45:52",93,90,19,"Деньги от Payment Ninja",fb,EmptyLikes,RU,topfacemobappandroid
,,,118075762,"2018-04-22 09:13:53",5,"2018-05-02 00:16:26",541,378,146,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,118742444,"2018-05-15 00:40:15",6,"2018-05-15 00:54:19",100,97,19,"Деньги от Payment Ninja",fb,autorefill,LT,topfacemobappandroid
,,,118441894,"2018-05-06 19:08:18",4,"2018-05-08 09:49:44",882,617,19,"Деньги от Google Play",fb,EmptyLikes,DE,topfacemobappandroid
,,,118196366,"2018-04-27 21:33:48",7,"2018-04-30 23:33:59",1405,983,147,"Деньги от Google Play",fb,TrialVipPopup,IN,topfacemobappandroid
,,,118355313,"2018-05-03 21:56:09",12,"2018-05-15 21:54:16",500,485,19,"Деньги от Payment Ninja",fb,EmptyLikes,TR,topfacemobappandroid
,,,117744173,"2018-04-08 00:26:21",4,"2018-04-13 08:23:57",164,114,67,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,117667348,"2018-04-04 13:18:56",1,"2018-04-04 13:23:06",565,395,147,"Деньги от Google Play",fb,Dating,TR,topfacemobappandroid
,,,118355313,"2018-05-03 21:56:09",16,"2018-05-15 22:44:56",500,485,19,"Деньги от Payment Ninja",fb,Fans,TR,topfacemobappandroid
,,,118750062,"2018-05-15 10:28:47",1,"2018-05-15 17:52:27",1041,1010,147,"Деньги от Payment Ninja",fb,promo.key31,LV,topfacemobappandroid
,,,117775147,"2018-04-09 00:17:58",1,"2018-04-12 21:56:37",999,969,147,"Деньги от Payment Ninja",fb,promo.key31,IN,topfacemobappandroid
,,,118421732,"2018-05-06 05:05:59",16,"2018-05-14 01:02:42",273,191,77,"Деньги от Google Play",fb,BadaboomFilterScreen,RU,topfacemobappandroid
9553,63,"2018-04-12 21:59:14",117846289,"2018-04-12 21:59:12",1,"2018-04-19 20:30:37",499,484,147,"Деньги от Payment Ninja",fb,promo.key31,ZW,topfacemobappandroid
